Date,Hour,Fuel,Output
2017-01-06,6,BIOFUEL,34
2017-01-06,7,NUCLEAR,11106
2017-01-06,7,GAS,1557
2017-01-06,7,HYDRO,3952
2017-01-06,7,WIND,1114
2017-01-06,7,SOLAR,1
2017-01-06,7,BIOFUEL,78
2017-01-06,8,NUCLEAR,11105
2017-01-06,8,GAS,1717
2017-01-06,8,HYDRO,4866
2017-01-06,8,WIND,1176
2017-01-06,8,SOLAR,2
2017-01-06,8,BIOFUEL,167
2017-01-06,9,NUCLEAR,11109
2017-01-06,9,GAS,1622
2017-01-06,9,HYDRO,5233
2017-01-06,9,WIND,1152
2017-01-06,9,SOLAR,27
2017-01-06,9,BIOFUEL,197
2017-01-06,10,NUCLEAR,11113
2017-01-06,10,GAS,1870
2017-01-06,10,HYDRO,5155
2017-01-06,10,WIND,1028
2017-01-06,10,SOLAR,90
2017-01-06,10,BIOFUEL,200
2017-01-06,11,NUCLEAR,11118
2017-01-06,11,GAS,1643
2017-01-06,11,HYDRO,4953
2017-01-06,11,WIND,1247
2017-01-06,11,SOLAR,159
2017-01-06,11,BIOFUEL,167
2017-01-06,12,NUCLEAR,11121
2017-01-06,12,GAS,1198
2017-01-06,12,HYDRO,4393
2017-01-06,12,WIND,1574
2017-01-06,12,SOLAR,194
2017-01-06,12,BIOFUEL,83
2017-01-06,13,NUCLEAR,11121
2017-01-06,13,GAS,1197
2017-01-06,13,HYDRO,4448
2017-01-06,13,WIND,1597
